"Año";"Periodo";"Agua embalsada"
"2018";"Semana 48";"5.726"
"2018";"Semana 49";"5.764"
"2018";"Semana 50";"5.767"
"2018";"Semana 51";"5.813"
"2018";"Semana 52";"5.816"
"2019";"Semana 1";"5.764"
"2019";"Semana 2";"5.718"
"2019";"Semana 3";"5.593"
"2019";"Semana 4";"5.561"
"2019";"Semana 5";"5.628"
"2019";"Semana 6";"5.680"
"2019";"Semana 7";"5.709"
"2019";"Semana 8";"5.707"
"2019";"Semana 9";"5.710"
"2019";"Semana 10";"5.770"
"2019";"Semana 11";"5.774"
"2019";"Semana 12";"5.766"
"2019";"Semana 13";"5.756"
"2019";"Semana 14";"5.727"
"2019";"Semana 15";"5.733"
"2019";"Semana 16";"5.772"
"2019";"Semana 17";"5.960"
"2019";"Semana 18";"6.035"
"2019";"Semana 19";"6.038"
"2019";"Semana 20";"6.019"
"2019";"Semana 21";"5.980"
"2019";"Semana 22";"5.920"
"2019";"Semana 23";"5.854"
"2019";"Semana 24";"5.775"
"2019";"Semana 25";"5.608"
"2019";"Semana 26";"5.413"
"2019";"Semana 27";"5.228"
"2019";"Semana 28";"5.137"
"2019";"Semana 29";"4.956"
"2019";"Semana 30";"4.784"
"2019";"Semana 31";"4.698"
"2019";"Semana 32";"4.603"
"2019";"Semana 33";"4.526"
"2019";"Semana 34";"4.455"
"2019";"Semana 35";"4.332"
"2019";"Semana 36";"4.121"
"2019";"Semana 37";"3.922"
"2019";"Semana 38";"3.862"
"2019";"Semana 39";"3.835"
"2019";"Semana 40";"3.820"
"2019";"Semana 41";"3.805"
"2019";"Semana 42";"3.817"
"2019";"Semana 43";"3.832"
"2019";"Semana 44";"3.832"
"2019";"Semana 45";"3.851"
"2019";"Semana 46";"3.881"
"2019";"Semana 47";"3.919"
"2019";"Semana 48";"3.995"
"2019";"Semana 49";"4.009"
"2019";"Semana 50";"4.052"
"2019";"Semana 51";"5.042"
"2019";"Semana 52";"5.401"
"2020";"Semana 1";"5.539"
"2020";"Semana 2";"5.560"
"2020";"Semana 3";"5.596"
"2020";"Semana 4";"5.620"
"2020";"Semana 5";"5.823"
"2020";"Semana 6";"5.912"
"2020";"Semana 7";"5.966"
"2020";"Semana 8";"5.972"
"2020";"Semana 9";"5.996"
"2020";"Semana 10";"6.054"
"2020";"Semana 11";"6.055"
"2020";"Semana 12";"6.221"
"2020";"Semana 13";"6.306"
"2020";"Semana 14";"6.426"
"2020";"Semana 15";"6.592"
"2020";"Semana 16";"6.954"
"2020";"Semana 17";"7.117"
"2020";"Semana 18";"7.250"
"2020";"Semana 19";"7.313"
"2020";"Semana 20";"7.400"
"2020";"Semana 21";"7.434"
"2020";"Semana 22";"7.396"
"2020";"Semana 23";"7.329"
"2020";"Semana 24";"7.289"
"2020";"Semana 25";"7.228"
"2020";"Semana 26";"7.092"
"2020";"Semana 27";"6.949"
"2020";"Semana 28";"6.859"
"2020";"Semana 29";"6.670"
"2020";"Semana 30";"6.444"
"2020";"Semana 31";"6.149"
"2020";"Semana 32";"5.907"
"2020";"Semana 33";"5.792"
"2020";"Semana 34";"5.640"
"2020";"Semana 35";"5.484"
"2020";"Semana 36";"5.358"
"2020";"Semana 37";"5.233"
"2020";"Semana 38";"5.140"
"2020";"Semana 39";"5.127"
"2020";"Semana 40";"5.102"
"2020";"Semana 41";"5.068"
"2020";"Semana 42";"4.954"
"2020";"Semana 43";"5.205"
"2020";"Semana 44";"5.285"
"2020";"Semana 45";"5.467"
"2020";"Semana 46";"5.524"
"2020";"Semana 47";"5.486"
"2020";"Semana 48";"5.434"
"2020";"Semana 49";"5.439"
"2020";"Semana 50";"5.548"
"2020";"Semana 51";"5.594"
"2020";"Semana 52";"5.719"
"2020";"Semana 53";"5.716"
"2021";"Semana 1";"5.545"
"2021";"Semana 2";"5.432"
"2021";"Semana 3";"5.432"
"2021";"Semana 4";"5.646"
"2021";"Semana 5";"5.954"
"2021";"Semana 6";"6.506"
"2021";"Semana 7";"7.457"
"2021";"Semana 8";"7.788"
"2021";"Semana 9";"7.978"
"2021";"Semana 10";"8.014"
"2021";"Semana 11";"8.049"
"2021";"Semana 12";"8.043"
"2021";"Semana 13";"7.869"
"2021";"Semana 14";"7.833"
"2021";"Semana 15";"7.669"
"2021";"Semana 16";"7.462"
"2021";"Semana 17";"7.253"
"2021";"Semana 18";"7.090"
"2021";"Semana 19";"6.959"
"2021";"Semana 20";"6.951"
"2021";"Semana 21";"6.845"
"2021";"Semana 22";"6.633"
"2021";"Semana 23";"6.496"
"2021";"Semana 24";"6.345"
"2021";"Semana 25";"6.192"
"2021";"Semana 26";"6.066"
"2021";"Semana 27";"5.804"
"2021";"Semana 28";"5.450"
"2021";"Semana 29";"5.164"
"2021";"Semana 30";"5.040"
"2021";"Semana 31";"4.916"
"2021";"Semana 32";"4.822"
"2021";"Semana 33";"4.747"
"2021";"Semana 34";"4.673"
"2021";"Semana 35";"4.603"
"2021";"Semana 36";"4.599"
"2021";"Semana 37";"4.565"
"2021";"Semana 38";"4.599"
"2021";"Semana 39";"4.631"
"2021";"Semana 40";"4.636"
"2021";"Semana 41";"4.648"
;;
;;
"Métrica":"Agua embalsada"
"Fuente":"Ministerio de Agricultura y Pesca, Alimentación y Medio Ambiente,Ministerio de Sanidad, Servicios Sociales e Igualdad"
"Clasificación":""
"Unidad":"Agua embalsada"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/embalses/667452ba-376e-4783-b9cb-371ebe33d555"
"Titulo":"El agua embalsada en la cuenca del Tajo cambió un 0,26﻿% en la última semana"
"Subtitulo":""
